MATRICULA,ANO_INGRESSO,ANO_EVASAO,PERIODO_INGRESSO,SEXO,FAIXA_ETARIA,IDADE,ETNIA,ESTADO_CIVIL,TEMPO_CURSO,PERIODO_ATUAL,POSICAO_SEM,COD_COTA,MEDIA_REFEICOES_SEM_RU,MEDIA_RETIRADAS_SEM_BIBLIOTECA,BOLSISTA,MORADIA_CEU,MONITORIA,FORMACAO_ENSINO_MEDIO,INICIOU_CURSO_SUPERIOR,COMO_MANTER_DURANTE_CURSO,MOTIVO_OPTOU_CURSO,PLANO_ENSINO,ORIENTACAO_LABORATORIOS,ATUACAO_COORDENADOR,PRATICA_ESTAGIO,CORPO_DOCENTE,APROVADAS,REPROVADAS,REP_FREQ,DISP_NOTA,TRANC_TOT,TRANC_PARC,MATRICULADAS,TOTAL,MEDIA,DESEMP_ACAD,MEDIA_DISC_MATRICULA,ATEND_PSICOSOCIAL,BOLSA_BSE,BOLSA_BSE_ATIVA_SEM,BOLSA_BSE_SITUACAO,BOLSA_BSE_TEMPO_TOTAL_DIAS,BOLSA_BSE_TEMPO_CORRENTE_DIAS,BOLSA_BSE_DT_INICIO,BOLSA_BSE_DT_TERMINO,NOTA_LING,NOTA_HUMA,NOTA_NATU,NOTA_MATE,NOTA_REDA,MEDIDA_BAIRRO,DIASACESSOONLINE,TOTAL_SESSOES,TEMPO_TOTAL_SEG,TOTAL_HIGHLIGHTS,TOTAL_BOOKMARKS,PREVISAO_ANTERIOR,DIFICULDADE_ESTUDANTE,CRA,MEDIA_APROVADAS,MEDIA_REPROVADAS,MEDIA_REP_FREQ,MEDIA_DISP_NOTA,MEDIA_MATRICULADAS,TOTAL_PROJETOS,CEP_ENDERECO,PRIMEIRA_GERACAO_SUPERIOR,ANO_INGRESSO_INSTITUICAO,IDADE_INGRESSO_CURSO,INGRESSO_MESMO_CURSO,MATRICULAS_OUTRO_CURSO,TIPO_CHAMADA_INGRESSO,FORMA_EVASAO,CLASSE
'202212096',2022,,'1. Semestre','M',1,19,'BRANCA','Não informado',1,4,1,'N',127.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,15,0,0,0,0,0,6,21,8.68,1,10.5, 'Nao', 'F', 'F',?,0,0,?,?,585.40,633.10,654.70,729.90,560.00,2,?,?,?,?,?,5          ,0.5099697341372135,8.57,0.714,0.0,0.0,0.0,0.285,1,97015631,'N',2022,18,0,0,'Chamada','Aluno Regular','Regular'
'202211921',2022,,'1. Semestre','M',1,21,'BRANCA','Não informado',1,4,1,'S',37.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,15,1,0,0,0,0,5,21,7.47,1,10.5, 'Nao', 'F', 'F',?,0,0,?,?,601.30,575.90,507.30,635.00,580.00,1,?,?,?,?,?,6          ,0.4602870095869678,7.33,0.714,0.047,0.0,0.0,0.238,0,97110210,'N',2022,20,0,0,'Chamada','Aluno Regular','Regular'
'202211917',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'S',45.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,15,0,0,0,0,0,6,21,7.57,1,10.5, 'Nao', 'F', 'F',?,0,0,?,?,476.30,496.50,407.90,625.40,680.00,4,?,?,?,?,?,5          ,0.577965698688842,7.52,0.714,0.0,0.0,0.0,0.285,0,97760000,'N',2022,18,0,0,'Chamada','Aluno Regular','Regular'
'202311373',2023,,'1. Semestre','M',1,20,'OUTRA','Não informado',0,2,1,'S',2.0,1.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,3,2,0,0,0,0,4,9,5.68,0,1.0, 'Nao', 'F', 'F',?,0,0,?,?,532.50,541.60,601.20,629.00,800.00,1,?,?,?,?,?,?,-0.1345591536762673,5.62,0.333,0.222,0.0,0.0,0.444,1,97105120,'N',2018,20,0,0,'Listão','Aluno Regular','Regular'
'202210498',2022,,'1. Semestre','M',1,21,'BRANCA','Não informado',1,4,1,'S',261.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,16,0,0,1,0,1,8,26,9.47,1,13.0, 'Nao', 'F', 'F',?,0,0,?,?,554.80,624.20,592.00,713.40,700.00,1,?,?,?,?,?,5          ,0.456288709491191,8.38,0.615,0.0,0.0,0.038,0.307,1,97105030,'N',2022,19,0,0,'Listão','Aluno Regular','Regular'
'202110413',2021,,'1. Semestre','M',1,20,'BRANCA','Não informado',2,6,1,'N',40.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,28,0,0,0,0,1,8,37,9.14,1,9.25, 'Nao', 'F', 'F',?,0,0,?,?,536.00,559.20,562.70,648.20,880.00,2,1          ,1          ,20         ,0          ,0          ,2          ,0.4865341512303512,8.46,0.756,0.0,0.0,0.0,0.216,1,97050001,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'202110414',2021,,'1. Semestre','M',1,20,'BRANCA','Não informado',2,6,1,'N',0.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,21,2,0,0,0,0,4,27,7.41,1,6.75, 'Nao', 'F', 'F',?,0,0,?,?,546.60,476.40,474.10,698.60,920.00,1,17         ,83         ,8438       ,11         ,0          ,6          ,0.4302077068393149,7.37,0.777,0.074,0.0,0.0,0.148,1,97110420,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'202312037',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',1.0,2.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,4,1,0,0,0,0,5,10,6.62,0,1.0, 'Nao', 'F', 'F',?,0,0,?,?,571.20,614.50,664.50,667.10,780.00,2,?,?,?,?,?,?,0.0297875167504382,6.52,0.4,0.1,0.0,0.0,0.5,1,97010310,'N',2023,18,0,0,'Chamada','Aluno Regular','Regular'
'202312036',2023,,'1. Semestre','F',1,22,'BRANCA','Não informado',0,2,1,'N',24.0,1.0, 'T', 'F', 'F','Privada',?,?,?,?,?,?,?,?,3,2,0,0,0,0,5,10,6.11,0,1.0, 'Nao', 'F', 'F',?,0,0,?,?,556.30,570.70,537.10,740.50,780.00,3,?,?,?,?,?,?,-0.1345591536762673,6.03,0.3,0.2,0.0,0.0,0.5,1,97032420,'N',2020,21,0,0,'Chamada','Aluno Regular','Regular'
'201620454',2016,,'2. Semestre','M',3,41,'OUTRA','Não informado',7,6,-8,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,'Regular','Não sei responder/Não se aplica','Não sei responder/Não se aplica','Não sei responder/Não se aplica',?,29,7,1,1,0,0,3,41,6.55,0,2.92, 'Nao', 'F', 'F',?,0,0,?,?,645.70,678.00,614.20,776.90,540.00,3,?,?,?,?,?,1          ,0.2719579858081378,6.72,0.707,0.17,0.024,0.024,0.073,0,97010150,'N',2003,34,1,3,'Listão','Aluno Regular','Regular'
'202112346',2021,,'1. Semestre','M',1,21,'BRANCA','Não informado',2,6,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,19,8,1,0,0,0,5,33,5.27,0,8.25, 'Nao', 'F', 'F',?,0,0,?,?,634.00,630.40,535.80,584.00,540.00,3,1          ,1          ,13         ,3          ,0          ,8          ,0.141378521809806,5.16,0.575,0.242,0.03,0.0,0.151,0,97045060,'S',2021,18,0,0,'Chamada','Aluno Regular','Regular'
'202210914',2022,,'1. Semestre','F',1,19,'BRANCA','Não informado',1,4,1,'N',52.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,12,2,0,1,0,0,5,20,6.5,0,10.0, 'Nao', 'F', 'F',?,0,0,?,?,578.60,582.40,586.70,657.10,900.00,2,?,?,?,?,?,5          ,0.3255930326684157,6.52,0.6,0.1,0.0,0.05,0.25,0,97010440,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'201620081',2016,,'2. Semestre','M',2,26,'BRANCA','Solteiro(a)',7,6,-8,'N',5.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,25,20,8,2,1,1,3,60,4.21,-1,4.28, 'Nao', 'F', 'F',?,0,0,?,?,?,?,?,?,?,3,?,?,?,?,?,4          ,-0.236036819793448,4.5,0.416,0.333,0.133,0.033,0.05,1,97020750,'N',2016,18,0,0,'Listão','Aluno Regular','Regular'
'202010934',2020,,'1. Semestre','M',1,23,'BRANCA','Não informado',3,6,-1,'S',186.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,33,1,0,1,0,0,1,36,8.75,1,6.0, 'Nao', 'T', 'T', 'A',1610,1268,'04/03/2020','31/07/2024',586.60,624.20,577.90,731.10,620.00,4,1          ,3          ,554        ,0          ,0          ,?,0.4651621361185222,8.56,0.916,0.027,0.0,0.027,0.027,1,95800000,'S',2020,20,0,0,'Listão','Aluno Regular','Regular'
'201620068',2016,,'2. Semestre','M',2,26,'BRANCA','Solteiro(a)',7,6,-8,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,'Excelente','Excelentes','Não sei responder/Não se aplica','Não sei responder/Não se aplica',?,25,11,2,1,2,0,0,41,5.21,0,2.92, 'Nao', 'F', 'F',?,0,0,?,?,?,?,?,?,?,?,1          ,1          ,122        ,0          ,0          ,4          ,0.1346439697133538,5.62,0.609,0.268,0.048,0.024,0.0,0,?,'N',2016,18,0,0,'Listão','Aluno Regular','Regular'
'202012371',2020,,'1. Semestre','M',1,22,'OUTRA','Não informado',3,6,-1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,2,14,4,0,1,0,4,25,1.54,-1,4.16, 'Nao', 'F', 'F',?,0,0,?,?,538.50,472.80,513.20,605.90,700.00,?,?,?,?,?,?,9          ,-0.5863039035199179,1.35,0.08,0.56,0.16,0.0,0.16,0,?,'N',2020,19,0,0,'Chamada','Aluno Regular','Regular'
'202311108',2023,,'1. Semestre','M',1,22,'BRANCA','Não informado',0,2,1,'N',19.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,8.32,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,640.90,638.50,537.60,804.10,720.00,1,?,?,?,?,?,?,0.2247750169908236,8.19,0.454,0.0,0.0,0.0,0.545,1,97105910,'S',2020,22,0,1,'Listão','Aluno Regular','Regular'
'202310416',2023,,'1. Semestre','M',1,23,'BRANCA','Não informado',0,2,1,'S',17.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,0,0,3,0,0,5,12,8.56,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,645.50,641.90,580.80,789.90,600.00,4,?,?,?,?,?,?,0.171122018132965,7.9,0.333,0.0,0.0,0.25,0.416,1,97870000,'N',2023,22,0,0,'Listão','Aluno Regular','Regular'
'202010542',2020,,'1. Semestre','M',1,23,'OUTRA','Não informado',3,6,-1,'N',8.0,0.0, 'T', 'F', 'F','Privada',?,?,?,?,?,?,?,?,21,2,0,2,0,0,4,29,7.57,1,4.83, 'Nao', 'F', 'F',?,0,0,?,?,617.00,636.10,564.10,592.00,700.00,2,3          ,50         ,2872       ,59         ,0          ,1          ,0.407367519035284,7.53,0.724,0.068,0.0,0.068,0.137,1,97015220,'S',2020,19,0,0,'Listão','Aluno Regular','Regular'
'201721329',2017,,'2. Semestre','F',2,24,'BRANCA','Solteiro(a)',6,6,-6,'N',87.0,4.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,28,17,6,0,0,3,2,56,4.82,-1,4.66, 'Nao', 'T', 'T', 'A',2029,1900,'11/06/2018','31/12/2023',469.80,590.40,543.80,569.20,680.00,1,?,?,?,?,?,4          ,0.0741579241950361,4.47,0.5,0.303,0.107,0.0,0.035,0,97105000,'N',2017,18,0,0,'Chamada','Aluno Regular','Regular'
'202210556',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'N',5.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,17,1,0,1,0,0,6,25,8.14,1,12.5, 'Nao', 'T', 'T', 'A',1507,435,'15/06/2022','31/07/2026',660.60,667.10,613.60,693.00,620.00,2,1          ,1          ,47         ,0          ,0          ,5          ,0.4126348302989372,7.73,0.68,0.04,0.0,0.04,0.24,0,97050023,'S',2022,18,0,0,'Listão','Aluno Regular','Regular'
'201420766',2014,,'2. Semestre','M',2,30,'BRANCA','Solteiro(a)',9,6,-12,'N',34.0,10.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,31,21,11,0,1,0,3,67,4.56,-1,3.72, 'Nao', 'T', 'F',?,0,0,?,?,?,?,?,?,?,?,22         ,?,?,?,?,3          ,-0.0642679958613653,4.78,0.462,0.313,0.164,0.0,0.044,1,?,'S',2014,20,0,0,'Listão','Aluno Regular','Regular'
